team_id,year,school_id,class_id,student_id,role,gender,gender_prob,gender_adj,team_coed,school_single_sex,school_icsea,sector,locale
27,2025,S105,S105_C01,1,mechanics_lead,male,0.91,male,NA,coed,1020,Government,Metropolitan
27,2025,S105,S105_C01,2,project_manager,male,0.97,male,NA,coed,1020,Government,Metropolitan
27,2025,S105,S105_C01,3,team_captain,male,0.99,male,NA,coed,1020,Government,Metropolitan
28,2025,S102,S102_C01,2,head_scientist,female,1,female,NA,NA,NA,NA,NA
28,2025,S102,S102_C01,3,project_manager,male,0.97,male,NA,NA,NA,NA,NA
28,2025,S102,S102_C01,1,team_captain,female,0.99,female,NA,NA,NA,NA,NA
29,2025,S091,S091_C02,2,art_lead,male,0.99,male,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,2,art_lead,male,0.99,male,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,1,custom_role,NA,NA,unknown,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,1,custom_role,NA,NA,unknown,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,1,custom_role,NA,NA,unknown,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,1,custom_role,NA,NA,unknown,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,3,head_scientist,male,0.84,unknown,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,3,head_scientist,male,0.84,unknown,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,3,mechanics_lead,male,0.84,unknown,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,3,mechanics_lead,male,0.84,unknown,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,2,narrative_designer,male,0.99,male,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,2,narrative_designer,male,0.99,male,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,4,project_manager,NA,NA,unknown,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,5,team_captain,NA,NA,unknown,NA,coed,1140,Government,Metropolitan
29,2025,S091,S091_C02,5,team_captain,NA,NA,unknown,NA,coed,1140,Government,Metropolitan
30,2025,S010,S010_C02,3,art_lead,male,0.99,male,NA,coed,1100,Government,Metropolitan
30,2025,S010,S010_C02,3,custom_role,male,0.99,male,NA,coed,1100,Government,Metropolitan
30,2025,S010,S010_C02,3,custom_role,male,0.99,male,NA,coed,1100,Government,Metropolitan
30,2025,S010,S010_C02,3,head_scientist,male,0.99,male,NA,coed,1100,Government,Metropolitan
30,2025,S010,S010_C02,2,mechanics_lead,male,0.66,unknown,NA,coed,1100,Government,Metropolitan
30,2025,S010,S010_C02,1,narrative_designer,male,0.99,male,NA,coed,1100,Government,Metropolitan
30,2025,S010,S010_C02,1,project_manager,male,0.99,male,NA,coed,1100,Government,Metropolitan
30,2025,S010,S010_C02,3,team_captain,male,0.99,male,NA,coed,1100,Government,Metropolitan
31,2025,S028,S028_C01,4,art_lead,female,1,female,NA,coed,860,Government,Remote
